"title_name","address","address1","for_description","country","competition_corner","startDate","startMonth","startYear","endDate","endMonth","endYear","organizer_name","organizer_url","page_url"
"VFC Presents The Riot","","","VFC Presents are a company dedicated to offering a premium fitness events experience for those who compete, by those who compete.&lsquo;The Riot&rsquo; is an online fitness competition for teams of two athletes. Pairs can be same or mixed-sex with categories for Female-Female, Male-Male and Male-Female pairings. Teams can choose to enter the Elite or Scaled categories and support in selecting the appropriate category can be found in the &lsquo;Standards and Ability&rsquo; section in competition corner via the link below.We appreciate gyms in England are currently closed so the first submission date has been pushed back to enable those in affected gyms plenty of time to submit scores once they reopen.And, in light of recent varying lockdown restrictions there are contingency plans in place IF another widespread lockdown of gyms is called for in December.We&rsquo;ll also be releasing workouts in an order that support a general level of &lsquo;fitness&rsquo; first and then the more movement specific / technical movements later so people have time to get back in a gym.For full information, submission dates, equipment list or to grab your person andget signed up check out our Comp Corner page.https://competitioncorner.net/events/4380@vfcpresents on Instagram","","VFC Presents Presents","20","11","2020","31","12","2020","VFC Presents","","https://throwdownhub.io/calendar/competition/info/536"
"SAPT GAMES 2021 - Online Qualifier","","","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","","Throwdown Hub Presents","17","01","2021","07","02","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/638"
"Aus Day Mash Up 2021","5/49 Archer Street, Rockhampton, QLD, 4700, Australia","CrossFit CQ","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","AU","Throwdown Hub Presents","16","01","2021","16","01","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/640"
"Unbound & Unleashed","1/28 Flinders Parade, North Lakes, Brisbane, QLD, 4509, Australia","Unbound Athletic","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","AU","Throwdown Hub Presents","23","01","2021","23","01","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/641"
"2021 Australia Day Throwdown","2/10 Richmond St, Tumut, NSW, 2720, Australia","Tumut NSW","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","AU","Throwdown Hub Presents","23","01","2021","24","01","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/642"
"The Bay Games 2021","Jervis Bay, Huskisson, NSW, 2540, Australia","White Sands Park","The Games From Down Under - Australia&#39;s Premier Functional Fitness Festival

It&rsquo;s time to unleash your human potential and show the world what you stand for on the white sandy shores of Jervis Bay and under thebroght lights of the main arena.

You don&rsquo;t need to qualify for The Bay Games &ndash; it&rsquo;s for Everyday Athletes of all abilities, all ages and all are welcome.

Register as an individual or get your mates together and you put your training to work in the bay, on the beaches, and under the bright lights of the main arena&hellip;","AU","The Bay Games Presents","12","11","2021","14","11","2021","The Bay Games","https://thebaygames.com.au/","https://throwdownhub.io/calendar/competition/info/643"
"Blue Monkey Battle","64 Rue des Bouquinvilles, Eaubonne, 95220","CDFAS","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","FR","Throwdown Hub Presents","16","01","2021","17","01","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/652"
"Wodatolosa","2 rue de l'égalité, Toulouse, 31200","CrossFit Sept Deniers","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","FR","Throwdown Hub Presents","30","01","2021","31","01","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/654"
"Dead Man's Chest - Pirates and Mermaids","Mounts Bay School, Boscathnoe Lane, Heamoor, Penzance, Cornwall, TR18 3JT","Mounts Bay School","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","GB","Throwdown Hub Presents","02","04","2021","02","04","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/659"
"The Yorkshire Throwdown - Iron Sharpens Iron","Skinner Lane, Pontefract, West Yorkshire, WF8 1HX","Strong101","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","GB","Throwdown Hub Presents","16","04","2021","16","04","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/660"
