"coin_name","coin_symbol","coin_slug","coin_price","coin_volume24h","coin_volume7d","coin_volume30d","coin_marketCap","coin_percentChange1h","coin_percentChange24h","coin_percentChange7d","coin_marketCapByTotalSupply","coin_circulatingSupply","cryptos","exchanges","market_cap","crypto_24h_volume","dominance","eth_Gas","todays_crypto_market_cap","todays_market_increase_or_decrease"
"KuCoin Token","KCS","kucoin-token","6.46899732977014","1272929.2743709","9847087.43389969","38295086.60970936","636419057.7887076","-0.16783824","-1.13157274","-2.27797324","943696431.2762392","98379860.95","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Decentraland","MANA","decentraland","0.3346430995709275","60307024.96918698","293137186.15187895","2002406216.814196","620791123.9024477","-0.03029572","-7.86059543","-15.76684486","734052699.1322111","1855084191.7804768","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Gemini Dollar","GUSD","gemini-dollar","1.0060612997222347","657716.54888396","4283006.89236603","18854603.39663332","610729394.6393319","0.28971961","0.61680541","-0.63946086","614844003.7309495","607049883.35","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"BitTorrent-New","BTT","bittorrent-new","6.299588571706532e-07","8315100.20732613","71123889.39420442","307631348.92939466","597177058.1612067","-0.08030855","-3.17187019","-7.90414006","623659268.5989467","947962000000000.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"BitDAO","BIT","bitdao","0.2835607089717378","20359419.95411768","73442233.8483114","728463136.0981152","592910178.0639355","-0.18591544","-3.89821786","-6.97331857","2835607089.717378","2090946168.860899","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Fantom","FTM","fantom","0.20623055150134917","98141562.52937205","730906562.8935401","3823502064.533358","570971405.2240729","-0.01093857","-5.09600646","-14.04746388","654782001.0167836","2768607275.0493402","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Chain","XCN","chain","0.025055372906210044","9138586.52035943","57547230.22051139","256641832.70204797","538008607.6733541","0.40703428","-18.01578533","-33.43105334","1339723912.7732165","21472783889.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"PancakeSwap","CAKE","pancakeswap","3.298892798652618","49982298.16588741","149461009.6451238","1548747037.4222507","535528221.51084435","0.17964194","-6.2086333","-16.72123204","1172919247.4431462","162335745.41421068","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Maker","MKR","maker","545.5028520296837","20015384.82841366","119176542.28170896","702616757.9850348","533300518.88944757","0.22604872","-4.46715107","-11.09963711","533300518.88944757","977631.03695089","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Aptos","APT","aptos","4.08159957040037","106517585.08267094","706573528.1340767","3613076499.8675594","530607944.1520481","0.2991891","-8.55533495","-14.81112098","4081599570.40037","130000000.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"The Graph","GRT","the-graph","0.05735378662394934","19264680.57855906","119030957.08721723","731704644.7025701","488848678.25871426","-0.07557053","-5.80597963","-20.80604098","604428485.7950029","8523389771.349198","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"PAX Gold","PAXG","pax-gold","1801.1275560616737","13445067.17013128","98886835.1806391","463215453.97462136","488580543.0405226","-0.09385336","1.14200649","0.70278217","488580543.0405226","271263.71","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"eCash","XEC","ecash","2.5137691639913327e-05","9462156.8536031","63242467.78293682","331727383.59159064","484008459.3972874","-0.12987948","-7.06956617","-14.43949576","484008459.3972874","19254292173303.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Klaytn","KLAY","klaytn","0.15583663116051547","27355293.28672511","131930766.06833985","1059568335.6127238","472667849.0473708","-0.21522676","-7.40812603","-16.21478682","1710270577.3680658","3033098479.654065","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"IOTA","MIOTA","iota","0.16953399096254265","17072055.5365393","72784811.32906684","637093458.1847475","471224861.87823564","-0.24083464","-5.52755987","-18.59080429","471224861.87823564","2779530283.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Neo","NEO","neo","6.650515236246044","36809018.66209885","239600769.25852823","1154603489.5083811","469119570.3124848","0.12877857","-8.26315694","-9.45804307","665051523.6246043","70538831.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Dash","DASH","dash","42.423727819370285","83237376.55095461","577963960.7567091","2444139379.824698","468891547.76496774","0.27008044","-5.7899097","-9.37808607","468891547.76496774","11052577.69334632","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
